Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
272,Victory,Secret,Good,Black,White,Male,Yes,130,"1941, September",New Earth,DC
274,Four of Spades II,Non-dual,Bad,White,Red,Male,Yes,1,"1992, April",New Earth,DC
276,Jonathan L. Thunder,Secret,Good,Blue,Blond,Male,Yes,282,"1940, January",New Earth,DC
278,King of Spades V,Public,Bad,Red,Black,Male,Yes,5,"2005, October",New Earth,DC
280,Bzzd,Public,Good,Red,Brown,Male,No,15,"2007, July",New Earth,DC
282,Slade Wilson,Secret,Neutral,Blue,White,Male,Yes,336,"1980, December",New Earth,DC
285,Guinevere,Public,Good,Black,Blond,Female,Yes,15,"1936, February",New Earth,DC
288,Mark Armstrong,Secret,Good,Green,Brown,Male,Yes,1,"1994, December",New Earth,DC
293,Edward Arling,Public,Bad,Blue,Blond,Male,Yes,2,"1988, February",New Earth,DC
297,Edward Burke,Secret,Bad,Brown,Red,Male,Yes,5,"1961, October",New Earth,DC
299,Harry Bailey,Public,Neutral,Blue,Brown,Male,Yes,15,"2008, July",New Earth,DC
303,Sledge,Secret,Bad,Red,White,Male,Yes,12,"1995, January",New Earth,DC
304,Daniel Turpin,Public,Bad,Brown,Brown,Male,No,261,"1942, June",New Earth,DC
309,Arthur Pendragon,Public,Good,Brown,Brown,Male,Yes,41,"1936, February",New Earth,DC
310,Fernando Suarez,Non-dual,Good,Brown,Black,Male,Yes,4,"1940, January",New Earth,DC
312,Khaji Ro,Secret,Good,Blue,Brown,Female,Yes,2,"2009, March",New Earth,DC
313,Master Shoju,Public,Good,Blue,Black,Male,No,2,"1981, October",New Earth,DC
317,Misfit,Secret,Bad,Brown,Red,Male,Yes,3,"1992, September",New Earth,DC
319,SVRMiger,Secret,Good,Blue,Bald,Male,Yes,1,"2011, August",New Earth,DC
320,Janet Jones,Public,Good,Brown,Blond,Female,Yes,5,"1969, May",New Earth,DC
326,Boreas,Public,Good,Black,Black,Male,Yes,2,"1966, November",New Earth,DC
337,Jacob Bernstein,Secret,Bad,Blue,Blond,Male,Yes,4,"1995, December",New Earth,DC
341,Kevin Crow Clone,Secret,Bad,Brown,Red,Male,Yes,2,"1994, January",New Earth,DC
347,Jonas Sloe,Public,Bad,Brown,Red,Male,Yes,3,"1989, November",New Earth,DC
349,Suula,Secret,Neutral,Blue,White,Female,Yes,1,"1990, March",New Earth,DC
352,Bud and Lou the Hyenas,Secret,Bad,Blue,Brown,Male,No,9,"2001, March",New Earth,DC
355,Jill Carlyle,Secret,Neutral,Brown,Black,Female,Yes,15,"2000, April",New Earth,DC
358,Floyd Ventris,Public,Bad,Blue,Brown,Male,Yes,2,"1954, November",New Earth,DC
361,Output,Public,Bad,Green,Black,Male,Yes,1,"1997, September",New Earth,DC
363,Ephyra,Public,Good,White,Blue,Female,Yes,6,"1996, September",New Earth,DC
364,Fury-6,Public,Bad,Black,Brown,Male,Yes,11,"2008, December",New Earth,DC
366,Ace the Bat-Hound,Secret,Good,Black,Brown,Male,Yes,14,"1991, May",New Earth,DC
367,Kelor,Public,Neutral,Photocellular,Blond,Genderless,Yes,2,"1988, February",New Earth,DC
371,Rhea Jones,Secret,Good,White,Red,Female,Yes,35,"1987, December",New Earth,DC
374,Redzone,Secret,Bad,Yellow,Red,Male,No,4,"1994, June",New Earth,DC
377,Mona Bennett,Secret,Good,Blue,Blond,Female,Yes,48,"1963, July",New Earth,DC
384,John Deleon,Public,Bad,Green,Black,Male,No,3,"1969, November",New Earth,DC
385,Dark Druid,Secret,Bad,Black,Brown,Male,Yes,2,"2010, December",New Earth,DC
387,Topo II,Secret,Good,White,Brown,Male,Yes,8,"2007, May",New Earth,DC
388,Ragnar,Public,Bad,Brown,Black,Male,Yes,3,"2012, March",Unknown,DC
394,Anti-Hero,Secret,Bad,Brown,White,Male,Yes,2,"1999, July",New Earth,DC
399,Benito Gallo,Public,Bad,Yellow,White,Male,No,3,"2000, March",New Earth,DC
400,Cockroach,Secret,Good,Brown,Black,Female,No,1,"2011, August",New Earth,DC
401,Shalako,Public,Bad,Green,Blond,Male,No,4,"1990, March",New Earth,DC
402,Kimiyo Hoshi,Secret,Bad,Black,Black,Female,Yes,189,"1985, July",New Earth,DC
404,Edison,Secret,Bad,Brown,Black,Male,Yes,10,"2006, June",New Earth,DC
405,Butcher,Secret,Bad,Brown,Black,Unknown,No,17,"2010, May",New Earth,DC
414,Kai,Secret,Bad,Brown,Black,Male,No,9,"1995, July",New Earth,DC
415,Manitou Raven,Secret,Good,White,Black,Male,No,41,"2002, July",New Earth,DC
416,Gary Johnson,Secret,Bad,Brown,Auburn,Male,Yes,1,"1983, August",New Earth,DC
417,Boston Brand,Secret,Good,Blue,Black,Male,No,262,"1967, October",New Earth,DC
418,Liana,Public,Good,Green,Black,Female,Yes,1,"1983, March",New Earth,DC
420,Dust Devil,Secret,Bad,Brown,Black,Female,Yes,3,"2010, April",New Earth,DC
422,Martin van Wyck,Secret,Bad,Blue,Blond,Male,No,27,"1999, March",New Earth,DC
425,Alec Rois,Secret,Bad,Blue,Black,Male,Yes,13,"1988, April",New Earth,DC
429,Bette Noir,Secret,Bad,Grey,Black,Female,Yes,2,"1999, February",New Earth,DC
431,Mad Hatter II,Secret,Bad,Blue,Red,Male,Yes,12,"1956, April",New Earth,DC
432,Athena Tremor,Secret,Good,Blue,Blond,Female,Yes,27,"1966, June",New Earth,DC
433,Kem-L,Public,Good,Blue,Black,Male,Yes,5,"1989, November",New Earth,DC
435,Mariposa Nichol,Public,Bad,Brown,No,Female,Yes,6,"2008, September",New Earth,DC
436,Hendricks,Public,Good,Green,Brown,Male,Yes,19,"1993, June",New Earth,DC
438,Piledriver,Secret,Bad,Blue,Black,Male,Yes,2,"1981, September",New Earth,DC
443,Jamie Sawyer,Public,Good,Brown,Brown,Female,Yes,6,"1988, March",New Earth,DC
448,Stheno,Public,Bad,Brown,Black,Female,Yes,11,"2001, February",New Earth,DC
449,Theodore Gavlin,Secret,Bad,Blue,Grey,Male,No,3,"2006, June",New Earth,DC
453,Gyro,Secret,Bad,Blue,Black,Male,Yes,2,"1993, April",New Earth,DC
454,Creighton Kendall,Public,Bad,White,Black,Male,No,11,"1992, June",New Earth,DC
455,Ohm,Secret,Bad,Black,Brown,Male,Yes,1,"1994, May",New Earth,DC
456,Eobard Thawne,Secret,Bad,Blue,Red,Male,No,89,"1963, September",New Earth,DC
460,Destiny,Secret,Neutral,Brown,Black,Male,Yes,27,"1972, August",New Earth,DC
467,Ubu,Public,Bad,Blue,Blond,Male,Yes,33,"1971, June",New Earth,DC
468,Lita Brand,Public,Neutral,Blue,Black,Female,Yes,8,"1968, April",New Earth,DC
469,Maks Chazov,Public,Good,Blue,Brown,Male,Yes,6,"2008, March",New Earth,DC
470,Chama Sierra,Non-dual,Bad,Brown,Black,Male,Yes,3,"1995, November",New Earth,DC
471,William Tockman,Public,Bad,Blue,Black,Male,No,32,"1960, August",New Earth,DC
480,Freelance,Public,Bad,Yellow,Black,Male,Yes,1,"1994, December",New Earth,DC
481,Nine of Spades I,Secret,Neutral,Blue,Black,Male,Yes,3,"1990, July",New Earth,DC
484,Chlorino,Secret,Good,White,Black,Male,Yes,1,"1989, July",New Earth,DC
485,Randall Mikavic,Secret,Bad,Grey,Brown,Male,Yes,4,"2010, September",New Earth,DC
486,Charliehorse,Secret,Bad,Black,Brown,Male,Yes,2,"2005, November",New Earth,DC
488,Metalhead,Secret,Bad,Blue,Brown,Male,Yes,3,"1992, November",New Earth,DC
489,Shor,Secret,Neutral,Green,Black,Female,Yes,3,"2009, May",New Earth,DC
490,Ryuku Orsono,Secret,Good,Black,Black,Male,No,6,"2000, August",New Earth,DC
493,Jessica Midnight,Public,Good,Blue,Black,Female,Yes,40,"2002, October",New Earth,DC
494,"Pedro, Ghost Patrol",Public,Good,Brown,Brown,Male,No,29,"1942, May",New Earth,DC
497,Monitor Bob,Public,Neutral,Red,Black,Male,No,33,"2007, July",Unknown,DC
498,Eric Forrester,Non-dual,Bad,Blue,Black,Male,No,3,"1988, October",New Earth,DC
499,Thunderer II,Secret,Bad,White,Brown,Male,No,1,"2007, December",New Earth,DC
503,Jonathan Law,Secret,Bad,Blue,Blond,Male,No,84,"1941, October",New Earth,DC
504,Cornelius Stirk,Public,Bad,Blue,No,Male,Yes,22,"1988, November",New Earth,DC
506,Miss Army Knife,Secret,Bad,Green,Blond,Female,No,3,"2009, August",New Earth,DC
508,Xanthi,Secret,Neutral,Black,White,Male,No,5,"1989, January",New Earth,DC
512,Nora Reid,Public,Good,Blue,Red,Female,Yes,5,"2010, August",New Earth,DC
518,Kraken,Public,Good,Brown,Black,Female,Yes,10,"2008, January",New Earth,DC
521,Helena Kyle,Public,Neutral,Green,Brown,Female,Yes,25,"2006, May",New Earth,DC
527,Daniel Maris,Public,Bad,Brown,Brown,Male,No,2,"1996, March",New Earth,DC
532,Adrasteia,Public,Good,Green,Red,Female,No,3,"2011, January",New Earth,DC
536,Taryia,Public,Good,Green,Red,Female,Yes,7,"1985, December",New Earth,DC
540,Vortex,Secret,Good,Black,Black,Male,Yes,22,"2004, May",New Earth,DC
541,Moses Lwanga,Secret,Good,Brown,Black,Male,Yes,21,"2008, December",New Earth,DC
543,Carrie Phillips,Public,Neutral,Brown,Black,Female,Yes,4,"1988, June",New Earth,DC
548,Jay Young,Secret,Neutral,Grey,Blond,Male,No,3,"2011, September",New Earth,DC
551,Dean Hunter,Secret,Good,Blue,Blond,Male,Yes,3,"1992, December",New Earth,DC
553,Konrad Kaslak,Public,Bad,Blue,White,Male,Yes,5,"1990, September",New Earth,DC
555,Jake Bennetti,Non-dual,Good,Black,Brown,Male,Yes,13,"1997, April",New Earth,DC
567,Lead,Secret,Good,Photocellular,Black,Male,Yes,161,"1962, April",New Earth,DC
569,Milton Kroft,Secret,Bad,Brown,Brown,Male,Yes,5,"2010, February",New Earth,DC
574,TO-T-U-K,Public,Good,Blue,No,Male,No,3,1987,New Earth,DC
591,Lagoon Boy,Secret,Good,Red,White,Male,Yes,28,"1998, December",New Earth,DC
592,Benjamin Nakashima,Non-dual,Good,Red,Black,Male,Yes,14,"1993, October",New Earth,DC
593,Mas y Menos,Secret,Good,Black,Black,Male,Yes,4,"2006, September",New Earth,DC
594,Caitiff,Public,Neutral,White,Brown,Male,No,2,"1986, March",New Earth,DC
595,Kajz Dox,Secret,Bad,Green,Blond,Male,Yes,2,"1965, August",Unknown,DC
597,Five of Diamonds I,Secret,Bad,White,Blond,Male,Yes,1,"1992, April",New Earth,DC
599,Bonnie Robinson,Public,Good,Blue,Blond,Female,Yes,5,"1992, June",New Earth,DC
602,Doll Face,Secret,Bad,Green,Blond,Female,Yes,3,"2010, December",New Earth,DC
604,Laham,Secret,Good,Blue,Brown,Male,No,2,"1992, September",New Earth,DC
607,La Sangre,Secret,Good,Red,Red,Female,Yes,1,"2009, August",New Earth,DC
612,Wotan,Secret,Bad,Black,Green,Male,Yes,26,"1940, May",New Earth,DC
616,Hannibal Martin,Non-dual,Good,Brown,Brown,Male,Yes,7,"1993, June",New Earth,DC
623,Simon Lippman,Public,Good,Brown,Brown,Male,Yes,10,"2004, January",New Earth,DC
625,Eos,Public,Good,Blue,White,Female,Yes,3,"1987, November",New Earth,DC
627,Stuart Rawlings,Public,Good,Blue,Brown,Male,Yes,1,"2010, March",New Earth,DC
630,Malagigi,Public,Good,Blue,White,Male,Yes,5,"1981, October",New Earth,DC
631,Ramban,Secret,Good,Brown,Black,Male,Yes,16,"1990, September",New Earth,DC
632,Marcus Wise,Public,Bad,Black,Brown,Male,Yes,13,"2008, March",New Earth,DC
636,Markus Clay,Public,Good,Brown,Black,Male,Yes,19,"2008, March",New Earth,DC
641,Taro Raiden,Secret,Bad,White,Black,Male,No,9,"1986, November",New Earth,DC
649,Mordru,Public,Bad,Hazel,Brown,Male,Yes,36,"1968, June",New Earth,DC
658,Black Commando,Secret,Bad,Brown,Red,Male,Yes,1,"2010, December",New Earth,DC
659,Karl Courtney,Secret,Bad,Blue,Red,Male,No,10,"1976, June",New Earth,DC
660,Son of the Fallen,Public,Good,Black,Black,Male,Yes,5,"2009, January",New Earth,DC
662,Willis Danko,Public,Bad,Black,Red,Male,No,3,1995,New Earth,DC
663,Jacob Kane,Public,Good,Yellow,Blond,Male,Yes,31,"2009, August",New Earth,DC
669,"Anthony Angelo, Jr.",Public,Neutral,Auburn,White,Male,Yes,14,"1989, April",New Earth,DC
670,Klaus Cornelius,Public,Bad,Blue,Grey,Male,Yes,11,"1987, July",New Earth,DC
677,Abner Krill,Secret,Bad,Blue,Black,Male,No,8,"1962, February",New Earth,DC
686,Noddy Toylan,Secret,Neutral,Black,Black,Male,No,30,"1942, June",New Earth,DC
688,Scar,Secret,Bad,Black,No,Female,No,49,"2008, January",New Earth,DC
692,Anton Lamont,Secret,Bad,Blue,White,Male,Yes,22,"1978, October",New Earth,DC
693,Lionel Luthor,Public,Neutral,Green,Brown,Male,Yes,8,"2007, September",New Earth,DC
698,Ian Karkull,Public,Bad,White,Brown,Male,No,11,"1941, July",New Earth,DC
700,Twilight,Secret,Bad,Yellow,Brown,Female,No,2,"1996, April",New Earth,DC
702,Bonehead,Secret,Bad,Black,Brown,Male,Yes,1,"2010, November",New Earth,DC
704,Motalla,Public,Bad,Brown,Black,Female,Yes,3,"1997, June",New Earth,DC
707,Harmonia,Public,Bad,Blue,Blond,Female,Yes,14,"1987, February",New Earth,DC
708,Leron,Public,Bad,Brown,Bald,Male,Yes,4,"1963, October",New Earth,DC
709,Chase Lawler,Secret,Good,Brown,Brown,Male,No,16,"1994, October",New Earth,DC
727,Erszebet Bathory,Public,Bad,Brown,Blond,Female,Yes,1,"2009, April",New Earth,DC
728,Domina Paris,Public,Neutral,White,Blond,Female,No,6,"2004, July",New Earth,DC
730,Amunet Black,Public,Bad,Black,Blue,Female,Yes,10,"2001, August",New Earth,DC
734,Seth Aiden,Secret,Good,Yellow,Blond,Male,Yes,7,"2009, December",New Earth,DC
736,Lilith Clay,Secret,Good,Green,Red,Female,No,107,"1970, February",New Earth,DC
739,Todd Rice,Public,Good,Brown,Brown,Male,Yes,208,"1983, September",New Earth,DC
741,Iron,Secret,Good,Photocellular,Brown,Male,Yes,161,"1962, April",New Earth,DC
746,Ned Creegan,Public,Bad,Black,Brown,Male,Yes,5,"1967, September",New Earth,DC
748,Tezumak,Secret,Good,Hazel,Brown,Male,No,8,"2002, July",New Earth,DC
755,Underhand,Secret,Bad,Blue,Black,Male,Yes,3,"2009, November",New Earth,DC
764,Elizabeth Alderman,Public,Bad,Black,Black,Female,No,19,"1991, September",New Earth,DC
767,Artemis Freeker,Secret,Bad,Blue,Brown,Male,Yes,3,"1997, February",New Earth,DC
768,Marcie Cooper,Secret,Bad,Blue,Blond,Female,Yes,15,"1985, May",New Earth,DC
769,Neptune,Public,Good,Blue,Black,Male,Yes,13,"1945, September",New Earth,DC
774,Oberon Sexton,Public,Bad,Brown,White,Male,Yes,2,"2010, August",New Earth,DC
775,Carl Sands,Secret,Bad,Brown,Black,Male,Yes,73,"1961, July",New Earth,DC
777,Roger Goldman,Secret,Bad,Brown,Brown,Male,No,4,"1993, April",New Earth,DC
782,Hugh Danzizen,Secret,Good,Black,Brown,Male,Yes,2,"1996, December",New Earth,DC
784,Joan Ng,Public,Bad,Brown,Brown,Female,Yes,1,"2011, March",New Earth,DC
785,Brother Power,Secret,Good,Blue,Blond,Male,Yes,7,"1968, October",New Earth,DC
790,Emily Briggs,Public,Good,Blue,Red,Female,Yes,107,"1985, September",New Earth,DC
791,Raelene Sharp,Secret,Neutral,Orange,Brown,Female,No,20,1993,New Earth,DC
795,Alec Holland,Public,Good,Blue,Blond,Male,Yes,46,"1972, November",New Earth,DC
797,KT21,Public,Good,Black,Blond,Female,Yes,14,"1985, April",New Earth,DC
799,James Cameron,Public,Good,Red,Brown,Male,Yes,38,"1987, September",New Earth,DC
804,Mechanic,Secret,Good,Brown,Black,Male,Yes,3,"2010, December",New Earth,DC
805,Carl Hammer,Public,Bad,Black,Black,Male,Yes,1,"1985, February",New Earth,DC
807,Jackanapes,Secret,Bad,Brown,Black,Male,Yes,3,"2007, July",New Earth,DC
808,Dela Pharon,Secret,Bad,Green,Blond,Female,Yes,5,"1965, December",New Earth,DC
811,Dmitri Mishkin,Public,Good,Black,White,Male,No,16,"1981, March",New Earth,DC
814,Claudio Volpe,Public,Bad,Brown,Blond,Male,Yes,4,"1998, August",New Earth,DC
817,Edward Craig,Public,Good,Yellow,No,Male,No,13,"1983, March",New Earth,DC
819,Mzzttexxal,Secret,Bad,Brown,Grey,Female,Yes,12,"1985, February",New Earth,DC
824,Bizarro-Girl,Public,Neutral,Red,Blond,Female,Yes,6,"2010, August",New Earth,DC
828,Sitra,Secret,Bad,Green,Brown,Female,No,1,"2006, January",New Earth,DC
832,Agrippe,Public,Good,Brown,Red,Female,Yes,1,"2008, March",New Earth,DC
833,Z-1,Public,Bad,Yellow,Brown,Male,Yes,4,"1963, May",New Earth,DC
835,Fred Bentson,Secret,Bad,Blue,Blond,Male,Yes,14,"1994, July",New Earth,DC
838,Jack of Clubs IV,Secret,Bad,Brown,Black,Male,Yes,1,"2010, October",New Earth,DC
843,William Walsh,Secret,Bad,Brown,Brown,Male,No,10,"1984, July",New Earth,DC
847,Notional Man,Public,Bad,White,White,Male,Yes,2,"1990, November",New Earth,DC
854,Nicholas Pierce,Secret,Bad,Black,Red,Male,Yes,1,"2011, October",New Earth,DC
857,James Wright,Public,Good,Blue,Brown,Male,No,1,"2004, August",New Earth,DC
859,Venev,Secret,Bad,Brown,White,Female,No,8,"1993, August",New Earth,DC
860,Thomas Longstreet,Public,Good,Brown,White,Male,Yes,13,"1989, August",New Earth,DC
864,Greta Hayes,Secret,Good,Blue,Blond,Female,Yes,84,"1998, June",New Earth,DC
869,Athyns,Secret,Neutral,Brown,Blue,Male,Yes,9,"1989, January",New Earth,DC
871,Riki Kimura,Secret,Good,Black,Green,Male,Yes,5,"2009, October",New Earth,DC
872,Infinity,Secret,Good,Blue,Black,Female,Yes,8,"2008, March",New Earth,DC
880,Diro Yat,Public,Bad,Black,Black,Male,Yes,7,"2008, January",New Earth,DC
892,Ronald Troupe,Public,Good,Brown,Black,Male,Yes,90,"1991, July",New Earth,DC
893,Rogga,Secret,Good,Blue,Red,Male,No,8,"2007, January",New Earth,DC
894,Lauren Isley,Public,Good,Black,Red,Female,Yes,14,"1997, August",New Earth,DC
899,Holocaust,Public,Bad,Grey,Grey,Male,Yes,1,"1988, March",New Earth,DC
901,Chidi,Public,Good,Brown,Black,Female,Yes,8,"1994, November",New Earth,DC
904,Lord of Limbo,Unknown,Bad,Red,Brown,Male,Yes,2,"1980, April",Earth-One,DC
906,Isabelle Modini,Public,Good,Brown,Brown,Female,Yes,3,"1993, May",New Earth,DC
912,Pandora I,Public,Good,Blue,Black,Female,No,1,"1990, August",New Earth,DC
918,Anubis of the Dogpound,Public,Bad,Blue,No,Male,Yes,10,"2008, September",New Earth,DC
920,Andre Chavard,Public,Good,Black,Brown,Male,Yes,164,"1942, June",New Earth,DC
921,Bizarro Lois Lane,Public,Neutral,Black,Black,Female,Yes,8,"2007, October",New Earth,DC
922,Madeline Benoir,Secret,Neutral,Green,Red,Female,Yes,5,"2003, June",New Earth,DC
923,Cambodian,Secret,Bad,Blue,Brown,Male,Yes,6,"1987, September",New Earth,DC
926,Spin Doctor I,Secret,Bad,Blue,Red,Male,No,2,"2006, November",New Earth,DC
930,Amanda McCoy,Public,Neutral,Brown,Brown,Female,No,11,"1987, February",New Earth,DC
932,Daedalus,Secret,Neutral,Brown,Black,Male,Yes,4,"1994, March",New Earth,DC
937,Takeo Yamashiro,Secret,Bad,Pink,Black,Male,No,6,"1984, April",New Earth,DC
939,Colleen Franklin,Public,Good,Green,Red,Female,Yes,14,"2011, February",New Earth,DC
949,Franklin North,Public,Good,Red,Brown,Male,Yes,10,"1985, July",New Earth,DC
950,Kim Brand,Secret,Good,Brown,Brown,Female,Yes,7,"2010, August",New Earth,DC
962,Commodore Murphy,Public,Good,Brown,Brown,Male,Yes,4,"1975, May",New Earth,DC
963,Dennis Blake,Public,Bad,Blue,Blond,Male,No,10,"1988, October",New Earth,DC
967,Felix Faust,Secret,Bad,Brown,Black,Male,Yes,95,"1962, March",New Earth,DC
968,Diade,Public,Good,Brown,Black,Female,Yes,9,"1989, June",New Earth,DC
969,Civet,Secret,Good,Blue,Brown,Male,Yes,3,"2008, May",New Earth,DC
